,Unnamed: 0,Unnamed: 0.1,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,police,police
5,6,6,aide,help
6,7,7,demande,request
7,8,8,genre,kind
8,9,9,mois,month
9,10,10,frère,brother
10,11,11,laisser,let
11,12,13,mettre,to put
12,13,14,aucun,no
13,14,15,laisse,leash
14,15,16,eux,them
15,16,17,ville,city
16,18,19,parlé,speak
17,19,20,arrivé,come
18,20,21,devrait,should
19,21,22,bébé,baby
20,22,23,longtemps,long time
21,23,24,heures,hours
22,24,25,vont,will
23,25,26,pendant,while
24,26,27,revoir,meet again
25,27,28,aucune,any
26,28,29,place,square
27,29,30,parle,speak
28,30,31,compris,understood
29,31,32,savais,knew
30,32,33,étaient,were
31,33,34,attention,Warning
32,34,35,voici,here is
33,35,36,pourrais,could
34,36,37,affaire,case
35,37,38,donner,give
36,38,39,type,type
37,39,40,leurs,their
38,40,41,donné,given
39,41,43,corps,body
40,42,44,endroit,place
41,43,45,yeux,eyes
42,44,46,façon,way
43,45,47,écoute,listen
44,46,48,dont,whose
45,47,49,trouve,find
46,48,50,premier,first
47,49,51,perdu,lost
48,50,52,main,hand
49,51,53,première,first
50,52,54,côté,side
51,53,55,pouvoir,power
52,54,56,vieux,old
53,55,57,sois,be
54,56,58,tiens,here
55,57,59,matin,morning
56,58,60,tellement,so much
57,59,61,enfant,child
60,62,64,suite,after
61,63,65,pardon,sorry
62,64,66,venez,come
63,65,67,devant,in front of
64,66,68,vers,towards
65,68,70,demandé,request
66,69,71,chambre,bedroom
67,70,72,mis,placed
68,71,73,belle,beautiful
69,72,74,droit,law
70,73,75,aimerais,would like to
71,74,76,aujourd'hui,today
72,75,77,mari,husband
73,76,78,cause,cause
74,77,79,enfin,finally
75,78,80,espère,hope
76,79,81,eau,water
77,80,82,attendez,Wait
78,81,83,parti,left
79,82,84,nouvelle,new
80,83,85,boulot,job
81,84,86,arrêter,Stop
82,85,87,dirait,would say
83,86,88,terre,Earth
84,87,89,compte,account
85,88,90,donne,given
86,89,91,loin,far
87,90,92,fin,end
88,91,93,croire,believe
89,92,94,chérie,sweetheart
90,93,95,gros,large
91,94,96,plutôt,rather
92,95,97,aura,will have
93,96,98,filles,girls
94,97,99,jouer,to play
95,98,100,bureau,office
